	Analysis of efficacy
15348	Flow of participating infants through trial
15349	Revised infant temperament questionnaire scores
15350	Categories of adverse events
15351	Comparison of patients who had adverse events with all other patients
15352	Comparison of patients who had initial serious adverse events with all other patients
15353	Responses to the Dietary Sodium Restriction and Exercise Interventions
15354	Postoperative morbidity
15355	Unadjusted relation between preoperative haemoglobin mortality and mortality and morbidity
15356	Adjusted odds ratio  (95% CI)  for mortality and preoperative haemoglobin and decline in haemoglobin stratified by cardiovascular disease
15357	Patients considered for trial entry
15358	Comparability of treatment arms at randomisation  *
15359	Treatment received
15360	Clinical response 6 weeks after initial treatment
15361	Local failure
15362	Causes of death
15363	Morbidity
15364	Haematological measurements at end of treatment
15365	Summary of stepwise linear-regression analysis of group assignment on postintervention cognitive test scores
15366	Postintervention questionnaire
15367	Breast-duct cannulation and ductoscopy
15368	Lymphocyte phenotype and function in Fas-deficient patients
15369	Serum immunoglobulins and autoantibodies in Fasdeficient patients
15370	Serial Observations in Myosin-Binding Protein C–Affected Adult Relatives Without Phenotypic Evidence of Hypertrophic Cardiomyopathy When Initially Evaluated legend
15371	Presence of infections in AIDS-KS biopsy specimens
15372	Clinical course and complications
15373	Causes of death
15374	Univariate analysis of risk factors affecting survival
15375	Multivariate analysis of risk factors affecting survival
15376	Treatment-emergent adverse events
15377	Study Logic  (Inclusions and Exclusions)  legend
15378	Derived Model by Cox Regression Analysis  (in Derivation Set)  legend
15379	Mortality by Risk Groups: Comparison of the Derivation and the Validation Samples legend
15380	Birth outcomes
15381	Induction outcomes
15382	Neonatal outcomes
15383	Correlation Coefficients of Neurohumoral Plasma Levels legend
15384	Effect of Atenolol and Placebo on Neurohumoral Plasma Concentrations legend
15385	Causes of Death
15386	Effect of Atenolol and Placebo by Outcome legend
15387	Between-group comparison of individual prolapse symptoms at 2 years
15388	Uptake of treatment for prolapse symptoms during year 1 and year 2 of follow-up
15389	Falls in the 6 months before and after training
15390	Secondary outcome measures before and after training
15391	Findings in women who received hysteroscopy in the hysteroscopy group
15392	Pregnancy and livebirth outcomes
15393	Seroconversion for poliovirus  (types 1, 2, and 3)  from week 0 and week 18, and median antibody titres at week 18 by study group  (per protocol)
15394	Seroconversion for poliovirus  (types 1, 2, and 3)  from week 0 and week 18, and median antibody titres at week 18 by study group  (modified intention to treat)
15395	Cumulative seroconversion and median antibody titres by study group
15396	Serious adverse events
15397	Left Ventricular Contractility and Loading Conditions in Response to Intravenous Dobutamine and Intracoronary Enalaprilat and N G-Monomethyl-L-Arginine
15398	Association between edoxaban dose, concentration, anti-Factor Xa activity, and outcomes based on treatment regimen
15399	Relative efficacy and safety of edoxaban compared with warfarin stratified by dose reduction status
15400	Outcomes stratified by dose reduction criteria and treatment regimen
15401	Falls outcomes compared between the intervention and the control period
15402	Falls outcomes based on cognition levels
15403	Interventions and costs
15404	Unadjusted outcomes at 36-month follow up
15405	Adjusted outcome estimates, at 36-month follow-up
15406	Possible Triggering Conditions at the Onset of Transient Left Ventricular Apical Ballooning legend
15407	Electrocardiographic Findings of Left Ventricular Apical Ballooning
15408	Catheterization Data legend
15409	Absolute and relative health inequalities over three survey cycles of the Health Behaviour in School-aged Children study
15410	Absolute health inequalities in 492 788 adolescents, 2002–10
15411	Relative health inequalities in 492 788 adolescents, 2002–2010
15412	Pooled time-series analysis of health and health inequality in 102 countries and cycles
15413	Operative and Postoperative Data legend legend
15414	Endotoxin and Interleukin-B Ranges at 30 Minutes After Cardiopulmonary Bypass and Associated Ventilation Time legend
15415	Laboratory-confirmed cases by age group
15416	Hospital admissions by age group
15417	Description of the 90 confirmed pertussis cases in infants by maternal vaccination status
15418	Effectiveness of maternal pertussis vaccine by infant age at onset and timing of vaccination
15419	Patients' clinical outcomes
15420	Primary and secondary outcomes within 30 days of randomisation
15421	All deaths and venous thromboembolic events  (including those in first 30 days)  during the 6-month follow-up
15422	Births, deaths, and mortality rates in intervention groups during 2005–09
15423	Factorial and treatment group analyses of primary outcomes
15424	Clinical and Biochemical Variables of Patients and Controls legend
15425	Secondary outcomes in intervention and control clusters for the two interventions  (women's groups and volunteer peer counselling)
15426	Individual IGF-1 Levels in Patients With AMI and Controls legend legend
15427	Estimated proportion of participants falling at least once, and average number of falls per participant, attributable to various causes of falling
15428	Differences from pairwise comparison of proportions of participants falling, and average number of falls per participant, attributable to various causes of falling
15429	Estimated proportion of participants falling at least once, and average number of falls per participant, for each activity at time of falling
15430	Differences from pairwise comparison of proportions of participants falling while undertaking various activities
15431	Combinations of cause and activity associated with six or more falls
15432	Annual suicide rates per 10 000 patients in contact with National Health Service mental health services implementing up to six recommendations compared with those implementing seven to nine recommendations
15433	Rates of suicide per 10 000 per year in target groups before and after implementation of individual recommendations
15434	Treatment outcomes  (defined by the TLOVR algorithm)  at week 48
15435	Treatment-emergent NNRTI and N (t) RTI RAMs  (occurring in two or more patients with available resistance data in either treatment group)  at 48 weeks
15436	Treatment-emergent adverse events and laboratory abnormalities at 48 weeks
15437	Primary and secondary outcomes
15438	Neutrophil recovery, engraftment, and status at last follow-up
15439	Frequency of Missed Overall and Major Cardiovascular Findings by PE and POC Echocardiography legend
15440	Frequency of Findings Missed by Exam and Echocardiography
15441	Incidence of Selected Missed Minor Findings  (Number of Observations)  legend
15442	Incidence of Missed Major Findings  (Number of Observations)  legend
15443	Adverse events  (MedDRA terms)
15444	Levels of serum creatinine and creatinine-clearance
15445	Rates of hypoglycaemia in participants receiving at least one dose of insulin  (safety analysis population)
15446	Assessment of treatment satisfaction
15447	Interventions for maternal health in Matlab between 1976 and 2005
15448	Univariate and Multivariate Linear Model of Transcardiac Gradient of oxLDL in 22 Patients With DCM legend
15449	Unadjusted  (crude)  rate of CD4 count increases  (per year)  with viral load of less than 50 copies per mL and relation with current CD4 count  (cells per μL)
15450	Adjusted rate of CD4 count increases  (per year)  with viral load of less than 50 copies per mL, and relation between CD4 count at starting cART  (cells per μL)  and time since starting cART
15451	Echocardiographic and Other Measurements Before and After Dobutamine Infusion in the Entire Study Group  (n = 27)  legend legend
15452	Echocardiographic Variables Before and After Dobutamine Infusion in the Terminal  (Group I, n = 9)  and Survival  (Group II, n = 18)  Groups legend legend
15453	Changes and Percent Changes in Echocardiographic Variables in the Terminal  (Group I, n = 9)  and Survival  (Group II, n = 18)  Groups legend legend
